"PATH";"/System/Characts/Ings";;;;;;
"TYPE";"bcpg:ing";;;;;;
"COLUMNS";"cm:name";"cm:description";"bcpg:ingType";"bcpg:ingCEECode";"bcpg:legalName";"bcpg:legalName_fr";"bcpg:legalName_en"
"VALUES";"cistus labdaniferus oil";"tenseur, reconstituant";"Ingrédient";;"cistus labdaniferus oil";"cistus labdaniferus oil";"cistus labdaniferus oil"
"VALUES";"citric acid";"permet de rendre le pH d'un produit moins basique ou plus acide";"Ingrédient";;"citric acid";"citric acid";"citric acid"
"VALUES";"citronellol";"note rosée";"Ingrédient";;"citronellol";"citronellol";"citronellol"
"VALUES";"citronellyl methylcrotonate";"anti-odeur";"Ingrédient";;"citronellyl methylcrotonate";"citronellyl methylcrotonate";"citronellyl methylcrotonate"
"VALUES";"citrus grandis";"purifiant, équilibrant";"Ingrédient";;"citrus grandis";"citrus grandis";"citrus grandis"
"VALUES";"citrus limonum";"conditionneur, exfoliant";"Ingrédient";;"citrus limonum";"citrus limonum";"citrus limonum"
"VALUES";"climbazole";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"climbazole";"climbazole";"climbazole"
"VALUES";"cocamide DEA";"nettoyant, épaississant";"Ingrédient";;"cocamide DEA";"cocamide DEA";"cocamide DEA"
"VALUES";"cocamide MEA";"agent nettoyant, moussant, viscosant";"Ingrédient";;"cocamide MEA";"cocamide MEA";"cocamide MEA"
"VALUES";"cocamide MIPA";"moussant, épaississant";"Ingrédient";;"cocamide MIPA";"cocamide MIPA";"cocamide MIPA"
"VALUES";"cocamidopropyl betaine";"nettoyant, moussant";"Ingrédient";;"cocamidopropyl betaine";"cocamidopropyl betaine";"cocamidopropyl betaine"
"VALUES";"coco betaine";"nettoyant, moussant, conditionneur, anti-statique";"Ingrédient";;"coco betaine";"coco betaine";"coco betaine"
"VALUES";"coco nucifera (coconut) oil";"conditionneur, pour le coprah = base d'élaboration d'autres produits";"Ingrédient";;"coco nucifera (coconut) oil";"coco nucifera (coconut) oil";"coco nucifera (coconut) oil"
"VALUES";"cocoglucoside";"nettoyant";"Ingrédient";;"cocoglucoside";"cocoglucoside";"cocoglucoside"
"VALUES";"coconut acid";"nettoyant";"Ingrédient";;"coconut acid";"coconut acid";"coconut acid"
"VALUES";"coriandrum sativum (coriander) seed oil";"propriétés : réchauffante et stimulante";"Ingrédient";;"coriandrum sativum (coriander) seed oil";"coriandrum sativum (coriander) seed oil";"coriandrum sativum (coriander) seed oil"
"VALUES";"coumarin";"note amandée";"Ingrédient";;"coumarin";"coumarin";"coumarin"
"VALUES";"cucumis sativus (cucumber)";"émollient, conditionneur, aide à reformer le film hydrolipidique de la peau, laisse la peau souple et douce";"Ingrédient";;"cucumis sativus (cucumber)";"cucumis sativus (cucumber)";"cucumis sativus (cucumber)"
"VALUES";"cyclohexasiloxane";"conditionneur, émollient";"Ingrédient";;"cyclohexasiloxane";"cyclohexasiloxane";"cyclohexasiloxane"
"VALUES";"cyclomethicone";"conditionneur, émollient, solvant";"Ingrédient";;"cyclomethicone";"cyclomethicone";"cyclomethicone"
"VALUES";"cyclomethicone (and) dimethicone/vinyl dimethicone";"polymer épaississant";"Ingrédient";;"cyclomethicone (and) dimethicone/vinyl dimethicone";"cyclomethicone (and) dimethicone/vinyl dimethicone";"cyclomethicone (and) dimethicone/vinyl dimethicone"
"VALUES";"cyclopentasiloxane";"conditionneur, émollient, solvant";"Ingrédient";;"cyclopentasiloxane";"cyclopentasiloxane";"cyclopentasiloxane"
"VALUES";"decyl glucoside";"nettoyant";"Ingrédient";;"decyl glucoside";"decyl glucoside";"decyl glucoside"
"VALUES";"decyl oleate";"conditionneur, émollient";"Ingrédient";;"decyl oleate";"decyl oleate";"decyl oleate"
"VALUES";"dehydroacetic acid";"biocide";"Ingrédient";;"dehydroacetic acid";"dehydroacetic acid";"dehydroacetic acid"
"VALUES";"diazolidinyl urea";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"diazolidinyl urea";"diazolidinyl urea";"diazolidinyl urea"
"VALUES";"dicaprylyl carbonate";"émollient";"Ingrédient";;"dicaprylyl carbonate";"dicaprylyl carbonate";"dicaprylyl carbonate"
"VALUES";"dicaprylyl ether";"émollient";"Ingrédient";;"dicaprylyl ether";"dicaprylyl ether";"dicaprylyl ether"
"VALUES";"diethylhexyl sebacate";"filmogène, solvent, MP parfum";"Ingrédient";;"diethylhexyl sebacate";"diethylhexyl sebacate";"diethylhexyl sebacate"
"VALUES";"dimethicone";"anti-moussant, occlusif, protecteur";"Ingrédient";;"dimethicone";"dimethicone";"dimethicone"
"VALUES";"dimethicone copolyol";"conditionneur";"Ingrédient";;"dimethicone copolyol";"dimethicone copolyol";"dimethicone copolyol"
"VALUES";"dimethicone PEG-7 phosphate";"émulsionnant";"Ingrédient";;"dimethicone PEG-7 phosphate";"dimethicone PEG-7 phosphate";"dimethicone PEG-7 phosphate"
"VALUES";"dimethiconol";"anti-moussant, émollient";"Ingrédient";;"dimethiconol";"dimethiconol";"dimethiconol"
"VALUES";"dipentaerythrityl hexacaprylate/hexacaprate";"occlusif, viscosant";"Ingrédient";;"dipentaerythrityl hexacaprylate/hexacaprate";"dipentaerythrityl hexacaprylate/hexacaprate";"dipentaerythrityl hexacaprylate/hexacaprate"
"VALUES";"diphenyl dimethicone";"anti-moussant, occlusif, protecteur";"Ingrédient";;"diphenyl dimethicone";"diphenyl dimethicone";"diphenyl dimethicone"
"VALUES";"dipropylene glycol";"composant de l'excipient, solvant pour parfum";"Ingrédient";;"dipropylene glycol";"dipropylene glycol";"dipropylene glycol"
"VALUES";"disodium cocoamphodiacetate";"nettoyant, moussant, conditionneur";"Ingrédient";;"disodium cocoamphodiacetate";"disodium cocoamphodiacetate";"disodium cocoamphodiacetate"
"VALUES";"disodium cocoyl glutamate";"nettoyant";"Ingrédient";;"disodium cocoyl glutamate";"disodium cocoyl glutamate";"disodium cocoyl glutamate"
"VALUES";"disodium EDTA";"neutraliser les ions complexes de l'eau, en particulier le calcaire";"Ingrédient";;"disodium EDTA";"disodium EDTA";"disodium EDTA"
"VALUES";"disodium laureth sulfosuccinate";"nettoyant, moussant, en association augmente le pouvoir moussant et viscosant";"Ingrédient";;"disodium laureth sulfosuccinate";"disodium laureth sulfosuccinate";"disodium laureth sulfosuccinate"
"VALUES";"disodium lauryl sulfosuccinate";"agent nettoyant, moussant, très doux";"Ingrédient";;"disodium lauryl sulfosuccinate";"disodium lauryl sulfosuccinate";"disodium lauryl sulfosuccinate"
"VALUES";"disodium oleamido PEG-2 sulfosuccinate";"nettoyant, mousant, hydrotrope";"Ingrédient";;"disodium oleamido PEG-2 sulfosuccinate";"disodium oleamido PEG-2 sulfosuccinate";"disodium oleamido PEG-2 sulfosuccinate"
"VALUES";"disodium phosphate";"tampon, anti-oxydant";"Ingrédient";;"disodium phosphate";"disodium phosphate";"disodium phosphate"
"VALUES";"DMDM hydantoin";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"DMDM hydantoin";"DMDM hydantoin";"DMDM hydantoin"
"VALUES";"docosahexaenoic acid";"conditionneur";"Ingrédient";;"docosahexaenoic acid";"docosahexaenoic acid";"docosahexaenoic acid"
"VALUES";"EDTA";"neutralise en partie le calcaire de l'eau";"Ingrédient";;"EDTA";"EDTA";"EDTA"
"VALUES";"eicosapentaenoic acid";"conditionneur";"Ingrédient";;"eicosapentaenoic acid";"eicosapentaenoic acid";"eicosapentaenoic acid"
"VALUES";"elaeis guineensis (palm) oil";"émollient, occlusif";"Ingrédient";;"elaeis guineensis (palm) oil";"elaeis guineensis (palm) oil";"elaeis guineensis (palm) oil"
"VALUES";"ethoxydiglycol";"solvant, fluidifiant";"Ingrédient";;"ethoxydiglycol";"ethoxydiglycol";"ethoxydiglycol"
"VALUES";"ethyl avocadate";"conditionneur, émolient";"Ingrédient";;"ethyl avocadate";"ethyl avocadate";"ethyl avocadate"
"VALUES";"ethyl glutamate";"conditionneur";"Ingrédient";;"ethyl glutamate";"ethyl glutamate";"ethyl glutamate"
"VALUES";"ethyl methoxycinnamate";"protège la peau des rayonnements nocifs du soleil";"Ingrédient";;"ethyl methoxycinnamate";"ethyl methoxycinnamate";"ethyl methoxycinnamate"
"VALUES";"ethyl paraben";"empécher la prolifération de bactéries et de levures";"Ingrédient";;"ethyl paraben";"ethyl paraben";"ethyl paraben"
"VALUES";"ethylhexyl methoxycinnamate";"protège la peau des rayonnements nocifs du soleil";"Ingrédient";;"ethylhexyl methoxycinnamate";"ethylhexyl methoxycinnamate";"ethylhexyl methoxycinnamate"
