STOP_ON_FIRST_ERROR;false;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PATH;/Temp/CIQUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TYPE;bcpg:rawMaterial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DISABLED_POLICIES;rep:reportEntityAspect;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MAPPING;NutDatabaseFrench;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COLUMNS;bcpg:code;Sodium;Magnésium;Phosphore;Potassium;Calcium;Manganèse;Fer total;Cuivre;Zinc;Sélénium;Iode;Protéines;Protéines brutes (N x 6.25);Glucides;Sucres;Energie kJ, étiquetage;Energie kcal, étiquetage;Amidon;Energie kJ;Energie kcal;Polyols totaux;Fibres alimentaires;Eau;Lipides;AG saturés;AG monoinsaturés;AG polyinsaturés;Rétinol;Bêta-carotène;Vitamine D;Activité vitaminique E (en équivalents alpha-tocophérol);Vitamine C totale;Vitamine B1 ou Thiamine;Vitamine B2 ou Riboflavine;Vitamine B3 ou PP ou Niacine;Vitamine B5 ou Acide pantothénique;Vitamine B6 ou Pyridoxine;Vitamine B12 ou Cobalamines;Vitamine B9 ou Folates totaux;Alcool (éthanol);Acides organiques;Cholestérol
VALUES;CIQUAL7330;648;55,1;186;233;39,5;1,1;1,1;1;1,5;5;10;13;14,3;64,4;6,58;1700;404;57,9;1680;399;0;7,48;4,27;8,3;1,88;1,96;2,07;0;50;0;0,49;0;0,16;0,12;1,6;0,58;0,16;0;29;0;0;0
VALUES;CIQUAL7310;12,1;22,5;120;161;376;0,7;1,3;0,182;7;2,2;6,3;9,93;10,9;73,4;10,1;1700;402;63,4;1680;398;0;5,9;4,32;5,84;2,2;1,6;0,976;0;0;0;4,7;0;0,66;0,22;1,1;0;0,94;0;94;0;0;0,6
VALUES;CIQUAL23805;463;14,2;116;137;38,9;0,3;0,6;0,1;0,45;5;30;5,86;5,86;30,3;1,94;1130;271;28,4;1130;271;0;1,5;47;13,7;8,09;3,31;1,05;23;0;0,5;2,4;0;0,106;0,117;0,73;0,35;0,07;0,275;33;0;0;24,7
VALUES;CIQUAL7500;728;55,5;196;270;72,8;1,2;1,8;0,1;1,5;5;10;11,6;12,7;71,5;2,6;1670;395;56,5;1650;391;0;4,5;4,68;5,5;0,22;0,105;0,835;0;50;0;0,15;0;0,2;0,09;1;0,71;0,12;0;22;0;0;0
VALUES;CIQUAL7430;246;25;119;161;20;0,617;1,3;0,127;0,712;2,2;6,3;13,8;15,1;38,4;0;2350;564;0;2330;559;0;4,2;5;38;13,5;9,27;2,5;0;0;0;0;0;0,08;0,22;1,1;0;0,44;0;30;0;0;0
VALUES;CIQUAL7525;591;66,3;188;213;48;0,36;1,2;0,25;1,4;5;20;14,5;15,9;66,6;1,1;1800;426;54,1;1770;421;0;4;2,73;9,79;2,1;5,41;1,42;0;0;0;1,9;7;0,216;0,082;1,83;0,47;0,111;0,255;72,4;0;0;6
VALUES;CIQUAL7420;635;60,9;213;284;26,8;1,7;1,6;1;1,4;5;10;10,3;11,3;67,3;8,2;1670;397;54,8;1660;393;0;7,51;4,97;7,48;1,04;4,28;1,86;0;50;0;0,5;0;0,19;0,11;1,4;0,69;0,25;0;26;0;0;0
VALUES;CIQUAL7407;431;23,4;120;163;42,2;1;1;0;1;5;10;9,35;10,3;70,4;9,1;1720;407;58,8;1700;404;0;5,4;5,06;8,19;3,01;3,38;1,47;0;50;0;0,63;0;0,2;0,07;1,4;0,52;0,14;0;21;0;0;0
VALUES;CIQUAL7400;582;40,5;104;182;27;0,7;1,35;0,18;1;2;4;9,55;10,5;74,6;5,1;1680;396;68,2;1660;393;0;4,42;4,15;5,23;1,87;2,37;0,781;0;0;0;0;0;0,06;0,06;0,9;0,1;0,08;0;31;0;0;0
VALUES;CIQUAL7425;630;66;194;300;30;0,7;9;0,18;1,5;1,7;4;11;12,1;68,5;6,85;1730;409;61,6;1710;405;0;7,5;2;8;2,21;2,41;2,05;0;0;0;1,5;0;0,2;0,15;1,5;0,1;0,1;0;57;0;0;0
VALUES;CIQUAL7180;530;18,1;84;134;52,7;1;1;0;1;5;10;7,6;8,33;53,4;0;1110;261;40,6;1090;258;0;1,2;34,9;1,25;0;0;0;0;50;0;0,074;0;0,11;0,08;2,6;0,49;0,05;0;21;0;0;0
VALUES;CIQUAL7410;599;29,8;131;254;42,3;1;1;0;1;5;10;9,6;10,5;74,2;8,47;1620;382;64,2;1600;378;0;3,85;6,4;3,9;0,819;1,57;1,36;0;50;0;0,26;0;0,71;0,09;3,3;0,71;0,693;0;72,5;0;0;0
VALUES;CIQUAL38405;388;0;0;0;0;0;0;0;0;0;0;4,42;4,42;49,3;0;2140;513;49,3;2140;513;0;11,5;1,85;30,6;15,1;11,3;2,84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37,7
VALUES;CIQUAL38400;695;38,5;95,8;371;55,4;0,42;1,2;0,2;0,5;7;11;8,05;8,05;58;3,8;2170;518;56,7;2170;518;0;1;1,81;28,1;10,6;7,73;4,3;2;33;0,5;3,7;3,9;0,165;0,14;3,4;0,62;0,26;0,15;42;0;0;5,6
VALUES;CIQUAL38106;1440;44,3;129;790;36,5;0,27;1,37;0,18;0,69;0,95;0;5,6;5,6;57,3;0,05;1890;452;53,8;1890;452;0;5,8;5,6;21;8,79;7,71;1,98;0;0;0;0;0;0,251;0,082;2,8;0,53;0,33;0;69;0;0;0
